id,feedback
1,The checkout process is confusing—too many steps and the page kept reloading.
2,I love the product variety, but the search function doesn’t return relevant results.
3,Website is super fast and easy to navigate. Great experience overall!
4,Discount code didn’t apply even though it said it was valid.
5,Images don’t load properly on product pages sometimes.
6,App crashes every time I try to open my order history.
7,Really smooth interface, but notifications are delayed.
8,Login with Google doesn’t work—it just keeps spinning.
9,I appreciate the dark mode option, makes it easier at night.
10,The latest update made things worse—slower and buggy.
11,Staff were friendly and helpful, but the checkout line was too long.
12,Couldn’t find what I needed—store layout is confusing.
13,Loved the ambiance and cleanliness of the store!
14,Prices are higher compared to other stores nearby.